"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","254","Should retrieve user with last valid boundary ID (10)","","Thu Mar 05 14:31:43 UTC 2026","passed","Thu Mar 05 14:31:43 UTC 2026","","Users API Tests","com.api.automation.tests.users.UsersTest","testLastValidBoundary"
"","280","Should retrieve posts for user","","Thu Mar 05 14:31:43 UTC 2026","passed","Thu Mar 05 14:31:44 UTC 2026","","Users API Tests","com.api.automation.tests.users.UsersTest","testGetUserPosts"
"","96","Should delete photo successfully","","Thu Mar 05 14:31:40 UTC 2026","passed","Thu Mar 05 14:31:40 UTC 2026","","Photos API Tests","com.api.automation.tests.photos.PhotosTest","testDeletePhoto"
"","246","Should delete album successfully","","Thu Mar 05 14:31:34 UTC 2026","passed","Thu Mar 05 14:31:34 UTC 2026","","Albums API Tests","com.api.automation.tests.albums.AlbumsTest","testDeleteAlbum"
"","227","Should retrieve user by email","","Thu Mar 05 14:31:42 UTC 2026","passed","Thu Mar 05 14:31:42 UTC 2026","","Users API Tests","com.api.automation.tests.users.UsersTest","testGetUserByEmail"
"","58","Should retrieve album with first valid boundary ID (1)","","Thu Mar 05 14:31:35 UTC 2026","passed","Thu Mar 05 14:31:35 UTC 2026","","Albums API Tests","com.api.automation.tests.albums.AlbumsTest","testFirstValidBoundary"
"","31","Should retrieve todos by user ID","","Thu Mar 05 14:31:39 UTC 2026","passed","Thu Mar 05 14:31:39 UTC 2026","","Todos API Tests","com.api.automation.tests.todos.TodosTest","testGetTodosByUserId"
"","236","Should update post successfully","","Thu Mar 05 14:31:37 UTC 2026","passed","Thu Mar 05 14:31:38 UTC 2026","","Posts API Tests","com.api.automation.tests.posts.PostsTest","testUpdatePost"
"","246","Should update comment successfully","","Thu Mar 05 14:31:40 UTC 2026","passed","Thu Mar 05 14:31:40 UTC 2026","","Comments API Tests","com.api.automation.tests.comments.CommentsTest","testUpdateComment"
"","230","Should return 404 for user ID 0","","Thu Mar 05 14:31:41 UTC 2026","passed","Thu Mar 05 14:31:42 UTC 2026","","Users API Tests","com.api.automation.tests.users.UsersTest","testZeroIdBoundary"
